Best,Worst
Pink,Pink
Pink,Pink
Pink,Pink
Pink,Pink
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Pink,Orange
Orange,Orange
Orange,Orange
Orange,Orange
Orange,Orange
Orange,Yellow
Orange,Yellow
Orange,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
Yellow,Yellow
