SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,101 Bud Ln,Levittown,NY,11756,699000,3,2.0,Levittown,,6000,1955,4,,,Active,January-14-2023 10:30 AM,January-14-2023 01:30 PM,https://www.redfin.com/NY/Levittown/101-Bud-Ln-11756/home/20361247,OneKey,3451110,N,Y,40.7402118,-73.5401358
PAST SALE,September-14-2017,Single Family Residential,7 Oaktree Ln,Levittown,NY,11756,539900,3,1.5,Levittown,1621,6000,1949,106,333,,Pending,,,https://www.redfin.com/NY/Levittown/7-Oaktree-Ln-11756/home/20372140,OneKey,3424132,N,Y,40.7288089,-73.5384116
MLS Listing,,Single Family Residential,63 Bucket Ln,Levittown,NY,11756,739999,5,3.0,Levittown,2398,6600,1948,1,309,,Active,,,https://www.redfin.com/NY/Levittown/63-Bucket-Ln-11756/home/20367792,OneKey,3437910,N,Y,40.7285626,-73.5177462
MLS Listing,,Single Family Residential,2 Ranch Ln,Levittown,NY,11756,599888,5,3.0,Levittown,,6000,1948,1,,,Active,January-14-2023 01:00 PM,January-14-2023 02:30 PM,https://www.redfin.com/NY/Levittown/2-Ranch-Ln-11756/home/20315470,OneKey,3451185,N,Y,40.7254013,-73.5086571
PAST SALE,January-25-2001,Single Family Residential,43 Silo Ln,Levittown,NY,11756,299999,3,1.0,Levittown,,6000,1948,1,,,Pending,,,https://www.redfin.com/NY/Levittown/43-Silo-Ln-11756/home/20315323,OneKey,3430399,N,Y,40.7062166,-73.5099687
MLS Listing,,Single Family Residential,18 Saucer Ln,Levittown,NY,11756,750000,3,3.0,Levittown,,7308,1948,2,,,Active,January-14-2023 12:00 PM,January-14-2023 02:00 PM,https://www.redfin.com/NY/Levittown/18-Saucer-Ln-11756/home/20315635,OneKey,3451499,N,Y,40.7197801,-73.4998898
PAST SALE,September-7-1995,Single Family Residential,41 Comet Ln,Levittown,NY,11756,375000,4,2.0,Levittown,,6200,1948,2,,,Pending,,,https://www.redfin.com/NY/Levittown/41-Comet-Ln-11756/home/20353350,OneKey,3398519,N,Y,40.7348315,-73.5035795
MLS Listing,,Single Family Residential,16 Red Maple Dr N,Wantagh,NY,11793,650000,3,2.0,Wantagh,1652,7104,1951,2,393,,Pre On-Market,January-21-2023 01:00 PM,January-21-2023 03:00 PM,https://www.redfin.com/NY/Wantagh/16-Red-Maple-Dr-N-11793/home/20305789,OneKey,3451428,N,Y,40.7098984,-73.5010047
PAST SALE,April-8-2022,Single Family Residential,98 Twig Ln,Levittown,NY,11756,1129100,5,4.5,Levittown,3200,6000,2023,5,353,,Pending,,,https://www.redfin.com/NY/Levittown/98-Twig-Ln-11756/home/20367602,OneKey,3438185,N,Y,40.7417858,-73.5383159
PAST SALE,March-28-2007,Single Family Residential,16 Branch Ln,Levittown,NY,11756,590000,4,2.0,Levittown,1600,6000,1948,5,369,,Pending,,,https://www.redfin.com/NY/Levittown/16-Branch-Ln-11756/home/20364209,OneKey,3447275,N,Y,40.7429538,-73.5420892
PAST SALE,,Single Family Residential,17 Hawk Ln,Levittown,NY,11756,364999,2,1.0,Levittown,750,6000,1950,6,487,,Pending,,,https://www.redfin.com/NY/Levittown/17-Hawk-Ln-11756/home/20314471,OneKey,3448645,N,Y,40.7238502,-73.5012691
MLS Listing,,Single Family Residential,41 Booth Ln,Levittown,NY,11756,464900,4,1.0,Levittown,1100,9875,1948,6,423,,Active,,,https://www.redfin.com/NY/Levittown/41-Booth-Ln-11756/home/20364217,OneKey,3450747,N,Y,40.7428691,-73.5375015
MLS Listing,,Single Family Residential,3847 Cordwood Ln,Seaford,NY,11783,629000,4,1.0,Seaford,,6600,1954,7,,,Active,January-15-2023 12:00 PM,January-15-2023 02:00 PM,https://www.redfin.com/NY/Seaford/3847-Cordwood-Ln-11783/home/20295329,OneKey,3450698,N,Y,40.7096594,-73.4897643
PAST SALE,March-11-1992,Condo/Co-op,267 N Newbridge Rd Unit 2B,Levittown,NY,11756,239000,1,1.0,Newbridge Gardens,825,158240,1965,7,290,425,Pending,,,https://www.redfin.com/NY/Levittown/267-N-Newbridge-Rd-11756/unit-2B/home/20372761,OneKey,3439635,N,Y,40.7315607,-73.5411824
MLS Listing,,Single Family Residential,21 Valley Rd,Levittown,NY,11756,999990,4,2.5,Levittown,,6000,2022,7,,,Active,,,https://www.redfin.com/NY/Levittown/21-Valley-Rd-11756/home/20372052,OneKey,3450546,N,Y,40.7272943,-73.5280543
MLS Listing,,Single Family Residential,47 Tanager Ln,Levittown,NY,11756,548000,5,2.0,Levittown,1900,7000,1951,7,288,,Active,,,https://www.redfin.com/NY/Levittown/47-Tanager-Ln-11756/home/20363696,OneKey,3449659,N,Y,40.7408385,-73.5241888
MLS Listing,,Single Family Residential,68 Crescent Ln,Levittown,NY,11756,519000,4,1.0,Levittown,1300,6000,1948,8,399,,Active,,,https://www.redfin.com/NY/Levittown/68-Crescent-Ln-11756/home/20316097,OneKey,3449816,N,Y,40.7083227,-73.5195524
PAST SALE,,Single Family Residential,1 Corncrib Ln,Levittown,NY,11756,699888,5,2.0,Levittown,3000,7600,1948,8,233,,Pending,,,https://www.redfin.com/NY/Levittown/1-Corncrib-Ln-11756/home/20370333,OneKey,3445915,N,Y,40.7321872,-73.5188046
PAST SALE,August-18-2022,Single Family Residential,49 Clay Ln,Levittown,NY,11756,599000,3,2.0,Levittown,,6200,1948,9,,,Pending,,,https://www.redfin.com/NY/Levittown/49-Clay-Ln-11756/home/20313319,OneKey,3440958,N,Y,40.7209709,-73.5056462
PAST SALE,March-5-2012,Single Family Residential,46 Schoolhouse Rd,Levittown,NY,11756,749999,6,3.0,Levittown,2356,7000,1947,9,318,,Pending,,,https://www.redfin.com/NY/Levittown/46-Schoolhouse-Rd-11756/home/20369571,OneKey,3433477,N,Y,40.7270308,-73.5309994
MLS Listing,,Single Family Residential,3139 Euston Ln,Levittown,NY,11756,489000,4,1.0,Levittown,,6000,1950,9,,,Active,,,https://www.redfin.com/NY/Levittown/3139-Euston-Ln-11756/home/20312395,OneKey,3450101,N,Y,40.7217781,-73.5198631
PAST SALE,April-7-1986,Single Family Residential,28 Anchor Ln,Levittown,NY,11756,609999,4,2.0,Levittown,1831,6000,1948,10,333,,Pending,,,https://www.redfin.com/NY/Levittown/28-Anchor-Ln-11756/home/20313326,OneKey,3436192,N,Y,40.7145564,-73.5093388
PAST SALE,,Single Family Residential,13 Rock Ln,Levittown,NY,11756,499000,4,2.0,Levittown,1500,7380,1948,11,333,,Pending,,,https://www.redfin.com/NY/Levittown/13-Rock-Ln-11756/home/20311914,OneKey,3439676,N,Y,40.7110859,-73.5182307
PAST SALE,October-29-2009,Single Family Residential,89 Shepherd Ln,Levittown,NY,11756,589000,4,1.0,Levittown,,6600,1950,11,,,Pending,,,https://www.redfin.com/NY/Levittown/89-Shepherd-Ln-11756/home/20355338,OneKey,3436245,N,Y,40.7280158,-73.5130938
MLS Listing,,Single Family Residential,88 Abbey Ln,Levittown,NY,11756,749000,5,2.0,Levittown,1665,7501,1948,12,450,,Active,January-14-2023 11:00 AM,January-14-2023 12:00 PM,https://www.redfin.com/NY/Levittown/88-Abbey-Ln-11756/home/20311483,OneKey,3449922,N,Y,40.7195087,-73.5148929
PAST SALE,,Single Family Residential,41 Gardenia Ln,Levittown,NY,11756,525000,3,2.0,Levittown,1050,6000,1948,12,500,,Pending,,,https://www.redfin.com/NY/Levittown/41-Gardenia-Ln-11756/home/20371019,OneKey,3441249,N,Y,40.7357453,-73.5186205
PAST SALE,,Single Family Residential,22 Hawk Ln,Levittown,NY,11756,519999,5,2.0,Levittown,,6000,1948,13,,,Pending,,,https://www.redfin.com/NY/Levittown/22-Hawk-Ln-11756/home/20313089,OneKey,3443537,N,Y,40.7234553,-73.5007642
PAST SALE,March-31-2003,Single Family Residential,72 Bud Ln,Levittown,NY,11756,799000,3,2.5,Levittown,2157,7625,1955,13,370,,Pending,,,https://www.redfin.com/NY/Levittown/72-Bud-Ln-11756/home/20361268,OneKey,3442414,N,Y,40.7394181,-73.5397796
PAST SALE,January-18-2022,Single Family Residential,124 Hamlet Rd,Levittown,NY,11756,948888,5,3.0,Levittown,2956,6600,2022,13,321,,Pending,,,https://www.redfin.com/NY/Levittown/124-Hamlet-Rd-11756/home/20355406,OneKey,3442503,N,Y,40.7265596,-73.5074835
MLS Listing,,Single Family Residential,3209 N Jerusalem Rd,Levittown,NY,11756,549999,3,1.0,Levittown,,6000,1948,14,,,Active,,,https://www.redfin.com/NY/Levittown/3209-N-Jerusalem-Rd-11756/home/20314203,OneKey,3449610,N,Y,40.7062282,-73.5169219
PAST SALE,,Single Family Residential,LOT 5 Heron Ln,Levittown,NY,11756,999999,5,3.0,Levittown,3100,46378,2022,15,323,,Pending,,,https://www.redfin.com/NY/Levittown/5-Heron-Ln-11756/home/180562268,OneKey,3416721,N,Y,40.7375437,-73.5286314
PAST SALE,August-31-2022,Single Family Residential,683 Brian Ln,Seaford,NY,11783,679999,4,2.0,Seaford,,7800,1953,15,,,Pending,,,https://www.redfin.com/NY/Seaford/683-Brian-Ln-11783/home/20297579,OneKey,3446041,N,Y,40.7076445,-73.4902246
PAST SALE,August-1-1974,Single Family Residential,20 Compass Ln,Levittown,NY,11756,524000,3,2.0,Levittown,1575,6000,1948,15,333,,Pending,,,https://www.redfin.com/NY/Levittown/20-Compass-Ln-11756/home/20353390,OneKey,3444145,N,Y,40.733642,-73.5097435
PAST SALE,,Single Family Residential,72 Barnyard Ln,Levittown,NY,11756,465000,3,1.0,Levittown,1050,6000,1950,16,443,,Pending,,,https://www.redfin.com/NY/Levittown/72-Barnyard-Ln-11756/home/19999241,OneKey,3443837,N,Y,40.720004,-73.531059
PAST SALE,March-1-1974,Single Family Residential,51 Robin Ln,Levittown,NY,11756,449951,4,2.0,Levittown,,6000,1948,16,,,Pending,,,https://www.redfin.com/NY/Levittown/51-Robin-Ln-11756/home/20315018,OneKey,3439843,N,Y,40.720977,-73.5107598
MLS Listing,,Condo/Co-op,307-02 Hicksville Rd #2,Bethpage,NY,11714,299000,1,1.0,Crescent Woods,,,1968,16,,1217,Active,,,https://www.redfin.com/NY/Bethpage/30702-Hicksville-Rd-11714/unit-2/home/183576718,OneKey,3449430,N,Y,40.7277764,-73.4901448
MLS Listing,,Condo/Co-op,257 Hicksville Rd Unit 2N,Bethpage,NY,11714,289999,1,1.0,Bethpage Commons,800,,1960,16,362,913,Active,,,https://www.redfin.com/NY/Bethpage/257-Hicksville-Rd-11714/unit-2N/home/21456158,OneKey,3449416,N,Y,40.731664,-73.4927125
MLS Listing,,Single Family Residential,1 Short Ln,Levittown,NY,11756,419000,4,2.0,Levittown,,8250,1949,17,,,Active,,,https://www.redfin.com/NY/Levittown/1-Short-Ln-11756/home/20313510,OneKey,3444477,N,Y,40.7198867,-73.5108891
