Title,Production Budget,Worldwide Box Office,Brand
Teen Titans Go! To The Movies,10000000,51620593,DC
Superman IV: The Quest for …,17000000,36700000,DC
The Losers,25000000,29863840,DC
Kick-Ass 2,28000000,63129909,Marvel
Kick-Ass,28000000,97531134,Marvel
Howard the Duck,30000000,16295774,Marvel
The Punisher,33000000,54533774,Marvel
Batman,35000000,411348924,DC
Superman III,39000000,80200000,DC
Blade,45000000,131237688,Marvel
Jonah Hex,47000000,11022696,DC
V for Vendetta,50000000,130214162,DC
Blade 2,54000000,154338601,Marvel
Superman II,54000000,190400000,DC
Superman,55000000,300200000,DC
Joker,55000000,1072507517,DC
Ghost Rider: Spirit of Veng…,57000000,149217355,Marvel
Deadpool,58000000,784157111,Marvel
Red,60000000,196439693,DC
The Lego Movie,60000000,468084718,DC
Elektra,65000000,56824633,Marvel
Blade: Trinity,65000000,131353165,Marvel
The New Mutants,67000000,44612280,Marvel
Constantine,75000000,221593554,DC
The League of Extraordinary…,78000000,179265204,DC
Daredevil,80000000,182782518,Marvel
Road to Perdition,80000000,183354514,DC
Batman Returns,80000000,266824291,DC
Birds of Prey (And the Fant…,82000000,201852140,DC
Shazam!,85000000,363664533,DC
Fantastic Four,87500000,333132750,Marvel
Men in Black,90000000,587790539,Marvel
Kingsman: The Secret Service,94000000,404561724,Marvel
Catwoman,100000000,82078046,DC
Batman Forever,100000000,336529144,DC
Kingsman: The Golden Circle,104000000,408803696,Marvel
Deadpool 2,110000000,786362370,Marvel
The Wolverine,115000000,416456852,Marvel
Venom,116000000,853530899,Marvel
Fantastic Four,120000000,167849187,Marvel
Ghost Rider,120000000,229545589,Marvel
Fantastic Four: Rise of the…,120000000,289480691,Marvel
Batman & Robin,125000000,238317814,DC
Logan,127000000,614202315,Marvel
Ant-Man,130000000,518858449,Marvel
Ant-Man and the Wasp,130000000,623144660,Marvel
Hulk,137000000,245031679,Marvel
The Incredible Hulk,137500000,265573859,Marvel
Watchmen,138000000,186976250,DC
Captain America: The First …,140000000,370569776,Marvel
Men in Black 2,140000000,441767803,Marvel
Batman Begins,150000000,358858124,DC
X-Men Origins: Wolverine,150000000,374825760,Marvel
Thor,150000000,449326618,Marvel
Thor: The Dark World,150000000,644602516,Marvel
Wonder Woman,150000000,818058221,DC
X-Men: First Class,160000000,355408305,Marvel
Spider-Man: Far From Home,160000000,1131113066,Marvel
Big Hero 6,165000000,649657407,Marvel
Doctor Strange,165000000,676354481,Marvel
Iron Man 2,170000000,621156389,Marvel
Captain America: The Winter…,170000000,714401889,Marvel
Guardians of the Galaxy,170000000,770882395,Marvel
Spider-Man: Homecoming,175000000,880166350,Marvel
X-Men: Apocalypse,178000000,542537546,Marvel
Thor: Ragnarok,180000000,850482778,Marvel
The Dark Knight,185000000,998615789,DC
Iron Man,186000000,585171547,Marvel
Green Lantern,200000000,219535492,DC
Dark Phoenix,200000000,246356895,Marvel
Black Widow,200000000,377130029,Marvel
The Amazing Spider-Man 2,200000000,708996336,Marvel
X-Men: Days of Future Past,200000000,747862775,Marvel
Spider-Man 2,200000000,794697557,Marvel
Guardians of the Galaxy Vol 2,200000000,869113101,Marvel
Iron Man 3,200000000,1215392272,Marvel
Black Panther,200000000,1336494321,Marvel
X-Men: The Last Stand,210000000,459260946,Marvel
Men in Black 3,215000000,654213485,Marvel
The Amazing Spider-Man,220000000,757890267,Marvel
The Avengers,225000000,1515100211,Marvel
The Dark Knight Rises,230000000,1082228107,DC
Superman Returns,232000000,391081192,DC
Captain America: Civil War,250000000,1151918521,Marvel
Spider-Man 3,258000000,894860230,Marvel
Batman v Superman: Dawn of …,263000000,872395091,DC
Avengers: Infinity War,300000000,2044540523,Marvel
Avengers: Age of Ultron,365000000,1395316979,Marvel
Avengers: Endgame,400000000,2797800564,Marvel
